id,name,rating,address,city,lat,lon
67,mr-t-cafe-san-francisco,4,4689 Mission St,San Francisco,37.72322,-122.43556
68,tpumps-san-francisco,3.5,1916 Irving St,San Francisco,37.7636264,-122.4785915
69,tj-cups-san-francisco-5,4,2437 Noriega St,San Francisco,37.75339,-122.48993
70,wondertea-san-francisco-4,4.5,2250 Irving St,San Francisco,37.76346681,-122.4823866
71,the-boba-shop-san-francisco-4,4.5,2071 3rd St,San Francisco,37.76355765,-122.3885771
72,steep-creamery-and-tea-san-francisco,4,270 Brannan St,San Francisco,37.78253482,-122.3911802
73,bubblecup-san-francisco-2,3.5,1900 Clement St,San Francisco,37.78227814,-122.4796964
74,sweet-a-little-san-francisco-12,4.5,,San Francisco,37.77448,-122.40916
75,tea-hut-san-francisco-2,4.5,2815 California St,San Francisco,37.78790507,-122.4407617
76,i-tea-san-francisco-2,3.5,2150 Irving St,San Francisco,37.7635307,-122.4811325
77,tancca-san-francisco-3,4.5,5015 Geary Blvd,San Francisco,37.7804213,-122.4732843
78,sharetea-san-francisco-3,3.5,135 4th St,San Francisco,37.78446433,-122.4034429
79,mi-tea-san-francisco,3.5,645 Irving St,San Francisco,37.7639596,-122.465019
80,bb-tea-station-san-francisco-3,3.5,1314 Noriega St,San Francisco,37.7542929,-122.4779253
81,tea-fm-san-francisco-3,3.5,1353 Taraval St,San Francisco,37.74263912,-122.4808923
82,keep-it-san-francisco-6,4.5,1170 Powell St,San Francisco,37.79555932,-122.4098162
83,mr-and-mrs-tea-house-san-francisco,3.5,544 Clement,San Francisco,37.78304429,-122.4652418
84,e-tea-san-francisco,3.5,5344 Geary Blvd,San Francisco,37.78054677,-122.476978
85,gosu-san-francisco,3.5,1014 Clement St,San Francisco,37.7829,-122.47017
86,homeplate-boba-san-francisco,4,131-155 King St,San Francisco,37.77870701,-122.3901575
87,cuppa-san-francisco,3.5,2810 Diamond St,San Francisco,37.73429,-122.43417
88,super-cue-cafe-san-francisco-2,8.9,1330 Ocean Ave,San Francisco,37.72429542,-122.4570445
89,puppy-bobar-san-francisco,5,1142 Grant Ave,San Francisco,37.79753995,-122.40679
90,cool-tea-bar-san-francisco-4,3.5,103 Waverly Pl,San Francisco,37.794315,-122.406927
91,little-heaven-deli-san-francisco,4.5,2348 Mission St,San Francisco,37.75948,-122.41943
92,5-sweets-san-francisco,4.5,1125 Ocean Ave 102,San Francisco,37.723259,-122.4545593
93,good-earth-cafe-san-francisco-2,4.5,835 Kearny St,San Francisco,37.7957899,-122.40537
94,sweethut-san-francisco,3.5,519 Clement St,San Francisco,37.78288767,-122.4647183
95,frostea-daly-city-2,3.5,6178 Mission St,Daly City,37.70689,-122.4588
96,teaone-san-francisco-5,3.5,5336 Geary Blvd,San Francisco,37.78076,-122.47679
97,fifty-fifty-coffee-and-tea-san-francisco,4,3157 Geary Blvd,San Francisco,37.7814293,-122.4529495
98,honey-creme-and-tea-san-francisco,3.5,839 Irving St,San Francisco,37.76384,-122.46708
99,bambu-san-francisco-3,4,6050 Geary Blvd,San Francisco,37.7804,-122.48458
100,i-tea-oakland,4,388 9th St,Oakland,37.80061359,-122.2706769
101,mr-green-bubble-oakland,3.5,4299 Piedmont Ave,Oakland,37.828969,-122.249297
102,t-and-bowl-oakland,4,901 Franklin St,Oakland,37.8004754,-122.2722423
103,u-cha-berkeley,4,2199 Bancroft Way,Berkeley,37.86786971,-122.2660823
104,the-sweet-booth-oakland,4,388 9th St,Oakland,37.80044556,-122.2718353
105,asha-tea-house-berkeley,4,2086 University Ave,Berkeley,37.8719582,-122.268859
106,i-tea-alameda,4,1626 Park St,Alameda,37.7673552,-122.24003
107,t4-oakland,3,1068 Webster St,Oakland,37.8009841,-122.2700858
108,wing-man-oakland-3,4,5295 College Ave,Oakland,37.83818,-122.25168
109,sharetea-berkeley,4,2440 Bancroft Way,Berkeley,37.8684064,-122.2605113
110,happy-lemon-berkeley-berkeley,4,2106 Shattuck Ave,Berkeley,37.87087,-122.26857
111,milk-tea-lab-pleasant-hill,4,1972 Contra Costa Blvd,Pleasant Hill,37.94857085,-122.0581788
112,boba-ninja-berkeley,4,2519B Durant Ave,Berkeley,37.86821,-122.25803
113,sharetea-alameda-4,3.5,2670 5th St,Alameda,37.7867215,-122.2813447
114,purple-kow-berkeley-2,3.5,2164 Center St,Berkeley,37.8704335,-122.2662693
115,teaway-alameda,3.5,2402 Central Ave,Alameda,37.76394,-122.24266
116,i-tea-walnut-creek-3,4,1245 N Broadway,Walnut Creek,37.89813189,-122.059291
117,sweetheart-cafe-oakland,3.5,315 9th St,Oakland,37.7994484,-122.2700968
118,gelato-firenze-and-qtea-bar-oakland,4,478 Lake Park Ave,Oakland,37.81106,-122.24718
119,tea-delight-alameda-2,4,650 Central Ave,Alameda,37.7708201,-122.2775159
120,quickly-oakland-4,4.5,1243 33rd Ave,Oakland,37.7765099,-122.2250587
121,i-tea-san-leandro-2,4,177 Pelton Ctr Way,San Leandro,37.72272,-122.15439
122,50-tea-oakland,3.5,1004 Webster St,Oakland,37.8007358,-122.270182
123,tea-press-berkeley-2,4,2552 Bancroft Way,Berkeley,37.86864,-122.25779
124,taiwan-bento-oakland-4,4,412 22nd St,Oakland,37.81097,-122.26651
125,u-tea-cafe-oakland,3,1728 A Franklin St,Oakland,37.80641265,-122.2682921
126,t4-alameda-2,3.5,1431 A Park St,Alameda,37.76509,-122.24233
127,teazzert-alameda,3.5,1342 Park St,Alameda,37.76353,-122.24319
128,qteabar-oakland,5,478 Lake Park Ave,Oakland,37.81106863,-122.2472357
129,the-burrow-brisbane-4,4.5,109 Visitacion,Brisbane,37.6834642,-122.4028888
130,sweet-belly-oakland,4.5,435 19th St,Oakland,37.80760948,-122.26888
131,sancha-bar-oakland-3,2.5,251 9th St,Oakland,37.79896158,-122.2688238
132,alice-street-bakery-café-oakland-2,4.5,251 10th St,Oakland,37.79962921,-122.2683716
133,t4-san-leandro,7.4,1443 E 14th St,San Leandro,37.723825,-122.154663
134,quickly-oakland-5,3.5,3306 Lakeshore Ave,Oakland,37.81062178,-122.2439262
135,bubble-tea-share-time-berkeley,4,1938 Shattuck Ave,Berkeley,37.87316305,-122.2685771
136,shooting-star-cafe-oakland,3.5,1022 Webster St,Oakland,37.800992,-122.2701305
137,pekoe-san-jose,4,3276 S White Rd,San Jose,37.3145585,-121.790189
138,tea-lyfe-drinks-san-jose-3,4,989 Story Rd,San Jose,37.33234432,-121.8577422
139,teahee-san-jose,4,979 Story Rd,San Jose,37.33114876,-121.8573767
140,boba-pub-san-jose,4,1576 Branham Ln,San Jose,37.25336,-121.9015
141,teaspoon-san-jose-2,4,4328 Moorpark Ave,San Jose,37.3157651,-121.9782757
142,passion-t-snacks-and-desserts-san-jose,4,2266 Senter Rd,San Jose,37.3105199,-121.84997
143,pop-up-tea-coffee-and-snacks-san-jose,4,185 Branham Ln,San Jose,37.26703262,-121.834053
144,happy-lemon-san-jose-5,4.5,3005 Silver Creek Rd,San Jose,37.308647,-121.813461
145,boba-bar-san-jose-3,3.5,310 S 3rd St,San Jose,37.332404,-121.8845467
146,sinceretea-san-jose-2,4,392 E Taylor St,San Jose,37.3529399,-121.89176
147,bobateani-san-jose,5,75 E Santa Clara St,San Jose,37.33709,-121.88941
148,soyful-desserts-san-jose-2,4,999 Story Rd,San Jose,37.33198757,-121.8567742
149,one-tea-san-jose-4,4,231 E Santa Clara St,San Jose,37.33862955,-121.8857068
150,i-tea-san-jose,4,2936 Aborn Square Rd,San Jose,37.31225168,-121.8097693
151,the-tea-zone-and-fruit-bar-san-jose,3.5,980 S Winchester Blvd,San Jose,37.309534,-121.949649
152,createave-cafe-san-jose-4,4,1698 Hostetter Rd,San Jose,37.38698002,-121.8835761
153,tleaf-teapresso-san-jose-3,4,860 Blossom Hill Rd,San Jose,37.2486886,-121.8579708
154,katea-san-jose,4.5,5700 Village Oaks Dr,San Jose,37.2525199,-121.8501
155,teatop-san-jose-2,4,6158 Bollinger Rd,San Jose,37.30865701,-122.0125922
156,bubbly-san-jose-4,4,1816 Tully Rd,San Jose,37.32229,-121.82405
157,vampire-penguin-featuring-jastea-san-jose,4,2671 Cropley Ave,San Jose,37.40417704,-121.8819331
158,simply-boba-san-jose,4,3005 Silver Creek Rd,San Jose,37.30885467,-121.8132025
159,happy-lemon-cupertino,4.5,20488 Stevens Creek Blvd,Cupertino,37.32258,-122.03121
160,amor-cafe-and-tea-san-jose,5.4,110 E San Fernando St,San Jose,37.335455,-121.886596
161,shincha-tea-san-jose-3,4,2487 Alvin Ave,San Jose,37.31917728,-121.8270416
162,sharetea-santa-clara-3,4,1171 Homestead Rd,Santa Clara,37.34866,-121.94616
163,chatime-san-jose-san-jose-3,4,311 N Capitol Ave,San Jose,37.36970208,-121.8453674
164,pure-tea-bar-san-jose,3.5,6195 Santa Teresa Blvd,San Jose,37.236431,-121.804763
